Entry	Entry name	Gene names
Q60865	CAPR1_MOUSE	Caprin1 Gpiap Gpiap1 Gpip137 M11s1 Rng105 G5E5
Q31125	S39A7_MOUSE	Slc39a7 H2-Ke4 Hke4
Q922B2	SYDC_MOUSE	Dars1 Dars
P97807	FUMH_MOUSE	Fh Fh1
Q6NXJ0	WWC2_MOUSE	Wwc2 D8Ertd594e MNCb-4173
Q9CX30	YIF1B_MOUSE	Yif1b
Q9DCT2	NDUS3_MOUSE	Ndufs3
Q8CF89	TAB1_MOUSE	Tab1 Map3k7ip1
A0A2I3BQR1	A0A2I3BQR1_MOUSE	Nt5dc2
Q99PA7	Q99PA7_MOUSE	Magea13 4930550L24Rik
Q9CQ92	FIS1_MOUSE	Fis1 Ttc11
P00375	DYR_MOUSE	Dhfr
Q8BMK0	CEP85_MOUSE	Cep85 Ccdc21
Q0P678	ZCH18_MOUSE	Zc3h18 Nhn1
Q9QZE5	COPG1_MOUSE	Copg1 Copg
Q62433	NDRG1_MOUSE	Ndrg1 Ndr1 Ndrl Tdd5
Q9D172	GAL3A_MOUSE	Gatd3a D10Jhu81e
A2AKI5	A2AKI5_MOUSE	Itgav
P19253	RL13A_MOUSE	Rpl13a P198 Tstap198-7
Q922D8	C1TC_MOUSE	Mthfd1
P63260	ACTG_MOUSE	Actg1 Actg
A0A087WS56	A0A087WS56_MOUSE	Fn1
A0A494BA39	A0A494BA39_MOUSE	Nedd4l
Q640Q5	PAN3_MOUSE	Pan3
Q4FJZ2	Q4FJZ2_MOUSE	Kpna6
Q0KL02	TRIO_MOUSE	Trio
